date,tone,volume,positive_mentions,negative_mentions,neutral_mentions,status
20251225T000000Z,-0.3768,0,0,0,0,success
20251225T001500Z,-0.0104,0,0,0,0,success
20251225T003000Z,0.3503,0,0,0,0,success
20251225T004500Z,0,0,0,0,0,success
20251225T010000Z,-0.3377,0,0,0,0,success
20251225T013000Z,-1.0636,0,0,0,0,success
20251225T014500Z,0.5339,0,0,0,0,success
20251225T020000Z,-1.8079,0,0,0,0,success
20251225T023000Z,3.0952,0,0,0,0,success
20251225T030000Z,-0.8017,0,0,0,0,success
20251225T031500Z,-0.3996,0,0,0,0,success
20251225T033000Z,1.1481,0,0,0,0,success
20251225T034500Z,-2.6696,0,0,0,0,success
20251225T040000Z,0.6157,0,0,0,0,success
20251225T043000Z,-2.7398,0,0,0,0,success
20251225T044500Z,0,0,0,0,0,success
20251225T050000Z,0.3306,0,0,0,0,success
20251225T051500Z,-1.9169,0,0,0,0,success
20251225T053000Z,-2.9053,0,0,0,0,success
20251225T054500Z,-1.6587,0,0,0,0,success
20251225T060000Z,-0.881,0,0,0,0,success
20251225T061500Z,-1.2903,0,0,0,0,success
20251225T070000Z,-1.4099,0,0,0,0,success
20251225T071500Z,0,0,0,0,0,success
20251225T073000Z,1.0169,0,0,0,0,success
20251225T074500Z,-0.013,0,0,0,0,success
20251225T080000Z,-8.2852,0,0,0,0,success
20251225T081500Z,0,0,0,0,0,success
20251225T083000Z,0.0858,0,0,0,0,success
20251225T084500Z,-0.4336,0,0,0,0,success
20251225T093000Z,1.8595,0,0,0,0,success
20251225T094500Z,-1.4493,0,0,0,0,success
20251225T101500Z,-2.3448,0,0,0,0,success
20251225T103000Z,1.2036,0,0,0,0,success
20251225T104500Z,-1.3728,0,0,0,0,success
20251225T110000Z,0,0,0,0,0,success
20251225T113000Z,-0.7538,0,0,0,0,success
20251225T114500Z,1.4083,0,0,0,0,success
20251225T120000Z,-1.0687,0,0,0,0,success
20251225T121500Z,-1.5574,0,0,0,0,success
20251225T123000Z,1.1942,0,0,0,0,success
20251225T124500Z,3.2483,0,0,0,0,success
20251225T130000Z,2.5796,0,0,0,0,success
20251225T131500Z,0,0,0,0,0,success
20251225T134500Z,-0.3163,0,0,0,0,success
20251225T140000Z,-3.7807,0,0,0,0,success
20251225T141500Z,-0.2398,0,0,0,0,success
20251225T143000Z,-0.1751,0,0,0,0,success
20251225T144500Z,-3.3026,0,0,0,0,success
20251225T150000Z,-0.3437,0,0,0,0,success
20251225T151500Z,0,0,0,0,0,success
20251225T153000Z,-4.3618,0,0,0,0,success
20251225T160000Z,0,0,0,0,0,success
20251225T161500Z,-6.6456,0,0,0,0,success
20251225T163000Z,0.2517,0,0,0,0,success
20251225T164500Z,-0.1996,0,0,0,0,success
20251225T170000Z,-0.5236,0,0,0,0,success
20251225T171500Z,0.5696,0,0,0,0,success
20251225T173000Z,1.5385,0,0,0,0,success
20251225T174500Z,3.3159,0,0,0,0,success
20251225T180000Z,-0.8453,0,0,0,0,success
20251225T181500Z,-3.0101,0,0,0,0,success
20251225T184500Z,0,0,0,0,0,success
20251225T190000Z,0.2492,0,0,0,0,success
20251225T191500Z,0,0,0,0,0,success
20251225T193000Z,4.6243,0,0,0,0,success
20251225T194500Z,-1.8052,0,0,0,0,success
20251225T200000Z,0.9831,0,0,0,0,success
20251225T201500Z,2.5654,0,0,0,0,success
20251225T203000Z,0,0,0,0,0,success
20251225T204500Z,0,0,0,0,0,success
20251225T210000Z,-2.7149,0,0,0,0,success
20251225T211500Z,0,0,0,0,0,success
20251225T220000Z,0,0,0,0,0,success
20251225T221500Z,0,0,0,0,0,success
20251225T223000Z,0,0,0,0,0,success
20251225T224500Z,-4.0985,0,0,0,0,success
20251225T230000Z,0,0,0,0,0,success
20251225T233000Z,1.0528,0,0,0,0,success
20251225T234500Z,0,0,0,0,0,success
20251227T000000Z,-1.6595,0,0,0,0,success
20251227T001500Z,0,0,0,0,0,success
20251227T003000Z,-3.8095,0,0,0,0,success
20251227T004500Z,-1.0802,0,0,0,0,success
20251227T010000Z,1.7078,0,0,0,0,success
20251227T011500Z,8.4184,0,0,0,0,success
20251227T014500Z,3.3831,0,0,0,0,success
20251227T021500Z,1.5521,0,0,0,0,success
20251227T023000Z,-3.138,0,0,0,0,success
20251227T024500Z,0,0,0,0,0,success
20251227T030000Z,-2.6296,0,0,0,0,success
20251227T031500Z,-1.6004,0,0,0,0,success
20251227T033000Z,0,0,0,0,0,success
20251227T034500Z,-5.7522,0,0,0,0,success
20251227T040000Z,-1.0711,0,0,0,0,success
20251227T044500Z,0.4004,0,0,0,0,success
20251227T050000Z,-0.8174,0,0,0,0,success
20251227T051500Z,2,0,0,0,0,success
20251227T053000Z,0,0,0,0,0,success
20251227T054500Z,0,0,0,0,0,success
20251227T060000Z,-1.0202,0,0,0,0,success
20251227T061500Z,-0.705,0,0,0,0,success
20251227T063000Z,-2.1808,0,0,0,0,success
20251227T064500Z,0,0,0,0,0,success
20251227T070000Z,1.8986,0,0,0,0,success
20251227T071500Z,-1.99,0,0,0,0,success
20251227T074500Z,-0.7143,0,0,0,0,success
20251227T080000Z,4.0744,0,0,0,0,success
20251227T081500Z,0.9346,0,0,0,0,success
20251227T084500Z,-2.3854,0,0,0,0,success
20251227T090000Z,-1.2618,0,0,0,0,success
20251227T091500Z,-1.9176,0,0,0,0,success
20251227T093000Z,-2.2523,0,0,0,0,success
20251227T094500Z,-0.5243,0,0,0,0,success
20251227T100000Z,4.1096,0,0,0,0,success
20251227T101500Z,-5.2409,0,0,0,0,success
20251227T103000Z,0,0,0,0,0,success
20251227T104500Z,0,0,0,0,0,success
20251227T110000Z,0,0,0,0,0,success
20251227T111500Z,-0.7805,0,0,0,0,success
20251227T114500Z,1.4355,0,0,0,0,success
20251227T120000Z,-1.9481,0,0,0,0,success
20251227T121500Z,0.3849,0,0,0,0,success
20251227T123000Z,1.054,0,0,0,0,success
20251227T130000Z,0,0,0,0,0,success
20251227T131500Z,0.7594,0,0,0,0,success
20251227T133000Z,0.8474,0,0,0,0,success
20251227T140000Z,2.7133,0,0,0,0,success
20251227T141500Z,1.2359,0,0,0,0,success
20251227T143000Z,2.0306,0,0,0,0,success
20251227T144500Z,3.2615,0,0,0,0,success
20251227T151500Z,1.2789,0,0,0,0,success
20251227T153000Z,1.7722,0,0,0,0,success
20251227T154500Z,0.7326,0,0,0,0,success
20251227T160000Z,0.8066,0,0,0,0,success
20251227T161500Z,1.1743,0,0,0,0,success
20251227T163000Z,0.0667,0,0,0,0,success
20251227T164500Z,-0.94,0,0,0,0,success
20251227T170000Z,0.9517,0,0,0,0,success
20251227T171500Z,1.454,0,0,0,0,success
20251227T173000Z,0.9047,0,0,0,0,success
20251227T174500Z,-1.9608,0,0,0,0,success
20251227T180000Z,0.9314,0,0,0,0,success
20251227T181500Z,0.9001,0,0,0,0,success
20251227T183000Z,1.3285,0,0,0,0,success
20251227T190000Z,0.4831,0,0,0,0,success
20251227T191500Z,0,0,0,0,0,success
20251227T193000Z,-2.8674,0,0,0,0,success
20251227T194500Z,0,0,0,0,0,success
20251227T200000Z,0,0,0,0,0,success
20251227T201500Z,-0.0149,0,0,0,0,success
20251227T204500Z,0.7922,0,0,0,0,success
20251227T210000Z,-2.1934,0,0,0,0,success
20251227T211500Z,0,0,0,0,0,success
20251227T213000Z,2.8103,0,0,0,0,success
20251227T214500Z,-1.243,0,0,0,0,success
20251227T220000Z,0,0,0,0,0,success
20251227T221500Z,-4.7414,0,0,0,0,success
20251227T223000Z,-0.4919,0,0,0,0,success
20251227T230000Z,0,0,0,0,0,success
20251227T231500Z,-1.2153,0,0,0,0,success
20251228T000000Z,-2.0818,0,0,0,0,success
20251228T001500Z,0,0,0,0,0,success
20251228T004500Z,-6.4607,0,0,0,0,success
20251228T010000Z,-8.0402,0,0,0,0,success
20251228T023000Z,-1.1285,0,0,0,0,success
20251228T030000Z,0,0,0,0,0,success
20251228T031500Z,0,0,0,0,0,success
20251228T034500Z,0,0,0,0,0,success
20251228T040000Z,-3.6036,0,0,0,0,success
20251228T041500Z,0,0,0,0,0,success
20251228T043000Z,0.0369,0,0,0,0,success
20251228T044500Z,-2.1624,0,0,0,0,success
20251228T050000Z,-2.0709,0,0,0,0,success
20251228T051500Z,0,0,0,0,0,success
20251228T060000Z,-1.6807,0,0,0,0,success
20251228T061500Z,0,0,0,0,0,success
20251228T063000Z,-1.6954,0,0,0,0,success
20251228T064500Z,0.0206,0,0,0,0,success
20251228T070000Z,6.25,0,0,0,0,success
20251228T071500Z,-0.7964,0,0,0,0,success
20251228T073000Z,0.1561,0,0,0,0,success
20251228T074500Z,0,0,0,0,0,success
20251228T080000Z,0.7156,0,0,0,0,success
20251228T081500Z,0.1624,0,0,0,0,success
20251228T083000Z,0,0,0,0,0,success
20251228T084500Z,1.8182,0,0,0,0,success
20251228T090000Z,-2.0309,0,0,0,0,success
20251228T091500Z,-2.1682,0,0,0,0,success
20251228T093000Z,0,0,0,0,0,success
20251228T094500Z,0.5292,0,0,0,0,success
20251228T100000Z,-1.0789,0,0,0,0,success
20251228T101500Z,-1.0724,0,0,0,0,success
20251228T103000Z,0,0,0,0,0,success
20251228T104500Z,0.6993,0,0,0,0,success
20251228T110000Z,-4.9112,0,0,0,0,success
20251228T111500Z,0,0,0,0,0,success
20251228T113000Z,-2.1841,0,0,0,0,success
20251228T114500Z,0,0,0,0,0,success
20251228T120000Z,0,0,0,0,0,success
20251228T123000Z,-2.2414,0,0,0,0,success
20251228T124500Z,-0.1539,0,0,0,0,success
20251228T130000Z,0,0,0,0,0,success
20251228T131500Z,-3.1056,0,0,0,0,success
20251228T133000Z,-1.6835,0,0,0,0,success
20251228T134500Z,1.6069,0,0,0,0,success
20251228T140000Z,-2.0136,0,0,0,0,success
20251228T141500Z,-1.7578,0,0,0,0,success
20251228T143000Z,-1.3218,0,0,0,0,success
20251228T144500Z,-0.3752,0,0,0,0,success
20251228T150000Z,0,0,0,0,0,success
20251228T151500Z,0.6529,0,0,0,0,success
20251228T153000Z,-3.1403,0,0,0,0,success
20251228T154500Z,1.2859,0,0,0,0,success
20251228T160000Z,0.5344,0,0,0,0,success
20251228T161500Z,0,0,0,0,0,success
20251228T163000Z,0,0,0,0,0,success
20251228T170000Z,1.8265,0,0,0,0,success
20251228T171500Z,1.3407,0,0,0,0,success
20251228T173000Z,-0.9004,0,0,0,0,success
20251228T174500Z,-1.3726,0,0,0,0,success
20251228T180000Z,-2.3071,0,0,0,0,success
20251228T181500Z,-2.0822,0,0,0,0,success
